NUMBER_PR,SYSTEM,URL,NFR_TYPE,PHRASE,KEYWORDS,LOCATION,OBS,ISSUE
6918,Spring Security,https://github.com/spring-projects/spring-security/pull/6918,None,,,,,https://github.com/spring-projects/spring-security/issues/6829
7419,Spring Security,https://github.com/spring-projects/spring-security/pull/7419,Security,"""Bearer WebClient Filter Authentication Propagation""","""Authentication Propagation""",Title,,https://github.com/spring-projects/spring-security/issues/7418
6509,Spring Security,https://github.com/spring-projects/spring-security/pull/6509,Maintainability,"""Please give some idea how I can write test""
""Also, I added a polish commit of 2b960b0 for the Java Config test - please take a look at the commit message for future reference.""","""test""
""polish""",Discussion,,https://github.com/spring-projects/spring-security/issues/6501
9053,Spring Security,https://github.com/spring-projects/spring-security/pull/9053,None,,,,,https://github.com/spring-projects/spring-security/issues/9041
7753,Spring Security,https://github.com/spring-projects/spring-security/pull/7753,Security,"""on for the default authentication entry point and authentication""","""authentication""",Description,,https://github.com/spring-projects/spring-security/issues/7751
7256,Spring Security,https://github.com/spring-projects/spring-security/pull/7256,Security,"""Add setter for authority prefix in JwtGrantedAuthoritiesConverter""
""This way existing authorization checks using the standard 'ROLE_'""","""authority"", ""authorization""",Title,,https://github.com/spring-projects/spring-security/issues/7101
9726,Spring Security,https://github.com/spring-projects/spring-security/pull/9726,Maintainability,"""Can you please add a test for us""
""I did a polish (02474fd) to add some additional binary files to .gitattributes.""","""test""
""polish""",Discussion,,https://github.com/spring-projects/spring-security/issues/9724
10007,Spring Security,https://github.com/spring-projects/spring-security/pull/10007,None,,,,,https://github.com/spring-projects/spring-security/issues/7765
3759,Spring Security,https://github.com/spring-projects/spring-security/pull/3759,,,,,,https://github.com/spring-projects/spring-security/issues/2953
7052,Spring Security,https://github.com/spring-projects/spring-security/pull/7052,,,,,,https://github.com/spring-projects/spring-security/issues/5007
11610,Spring Security,https://github.com/spring-projects/spring-security/pull/11610,Maintainability,"""Add Kotlin example for WebTestClient setup docs""","""docs""",Title,,https://github.com/spring-projects/spring-security/issues/9998
10608,Spring Security,https://github.com/spring-projects/spring-security/pull/10608,Security,"""Make Saml2AuthenticationRequests serializable""","""Saml2""",Title,,https://github.com/spring-projects/spring-security/issues/10550
6519,Spring Security,https://github.com/spring-projects/spring-security/pull/6519,None,,,,,https://github.com/spring-projects/spring-security/issues/6513
9907,Spring Security,https://github.com/spring-projects/spring-security/pull/9907,Robustness,"""fix typo preventing full exception to be displayed in log""","""exception""",Title,,https://github.com/spring-projects/spring-security/issues/9901
4000,Spring Security,https://github.com/spring-projects/spring-security/pull/4000,Maintainability,"""This will improve AngularJS experience which sends an accept header which includes text/html""",Improve,Description (?),,https://github.com/spring-projects/spring-security/issues/3997
8392,Spring Security,https://github.com/spring-projects/spring-security/pull/8392,None,,,,,https://github.com/spring-projects/spring-security/issues/8120
5729,Spring Security,https://github.com/spring-projects/spring-security/pull/5729,None,,,,,https://github.com/spring-projects/spring-security/issues/5540
7122,Spring Security,https://github.com/spring-projects/spring-security/pull/7122,None,,,,,https://github.com/spring-projects/spring-security/issues/6780
3939,Spring Security,https://github.com/spring-projects/spring-security/pull/3939,None,,,,,https://github.com/spring-projects/spring-security/issues/3892
3864,Spring Security,https://github.com/spring-projects/spring-security/pull/3864,None,,,,,https://github.com/spring-projects/spring-security/issues/3850
7071,Spring Security,https://github.com/spring-projects/spring-security/pull/7071,Robustness,"""Add authenticationFailureHandler method in OAuth2LoginSpec""",Failure Handler,Title,,https://github.com/spring-projects/spring-security/issues/7051
10500,Spring Security,https://github.com/spring-projects/spring-security/pull/10500,Robustness,"""Fix JwtClaimValidator error type """,Error,Title,,https://github.com/spring-projects/spring-security/issues/10337
9768,Spring Security,https://github.com/spring-projects/spring-security/pull/9768,Maintainability,"""Introduce a plugin that checks for tangles.""",Check,Description,,https://github.com/spring-projects/spring-security/issues/6236
9153,Spring Security,https://github.com/spring-projects/spring-security/pull/9153,Performance,"""Check of allowed user sessions count moved to head for avoid unnecessary fetching all user sessions.""",Unnecessary fetching,Description,,https://github.com/spring-projects/spring-security/issues/9152
11495,Spring Security,https://github.com/spring-projects/spring-security/pull/11495,Robustness,"""Add remaining methods from ExpressionUrlAuthorizationConfigurer to AuthorizeHttpRequestsConfigurer""",Add,Title,,https://github.com/spring-projects/spring-security/issues/11360
